No;Suelo;pH;P;K;S;Ca;Mg
1;A;6,50;73,25;183,78;8,50;5,40;1,90
2;B;7,10;47,75;207,24;10,36;5,49;2,09
3;A;6,66;75,54;164,23;5,59;7,15;2,01
4;A;7,06;48,86;179,87;8,04;7,37;1,77
5;A;7,49;53,61;211,15;6,15;8,61;1,98
6;B;6,69;54,46;179,87;9,64;8,40;2,38
7;A;6,26;37,70;144,68;6,04;5,73;1,70
8;A;6,68;52,61;195,51;6,34;5,53;1,74
9;A;6,87;53,28;179,87;5,12;6,98;1,67
10;B;6,10;35,45;179,87;5,89;3,84;1,19
11;A;6,75;51,62;199,42;6,00;5,33;1,76
12;A;6,58;37,70;218,97;6,04;6,70;2,06
13;A;6,62;57,73;203,33;7,14;5,78;1,90
14;A;7,62;29,37;234,61;7,88;7,53;2,01
15;B;6,52;47,59;258,07;5,96;5,17;2,05
16;A;7,41;38,27;215,06;7,29;8,18;1,81
17;B;7,04;32,43;211,15;8,32;9,47;2,85
18;B;6,89;56,51;246,34;6,37;7,93;1,70
19;B;7,45;42,37;230,70;8,65;8,85;2,05
20;A;6,61;49,67;218,97;6,79;6,84;1,81
21;B;6,60;69,63;207,24;6,30;4,76;1,53
22;A;6,81;59,85;234,61;7,65;5,96;2,20
23;B;6,39;67,09;207,24;6,72;6,84;2,15
24;B;7,04;42,52;125,13;6,41;5,04;1,97
25;B;7,49;26,15;203,33;11,35;8,05;2,18
26;B;6,19;77,66;183,78;7,08;4,98;1,67
27;B;6,11;51,46;195,51;10,65;5,79;2,06
28;B;5,67;61,66;207,24;7,46;5,40;1,64
29;B;7,02;63,31;261,98;8,94;6,11;2,32
30;B;6,72;63,68;265,89;7,78;5,91;1,56
31;A;7,40;39,57;203,33;7,35;6,41;1,62
32;A;6,88;39,57;160,32;8,22;5,93;2,07
33;B;5,91;51,13;179,87;8,50;5,45;1,88
34;B;6,13;68,06;144,68;9,22;4,43;1,55
35;B;6,18;72,64;160,32;8,28;4,65;1,72
36;A;7,25;72,84;175,96;12,97;6,00;2,02
37;B;6,56;105,00;222,88;9,06;6,89;2,40
38;A;6,17;98,67;168,14;8,72;5,47;1,68
39;A;7,31;99,21;234,61;10,25;5,30;2,40
